Epoch,Train_Accuracy,Val_Accuracy,Sequence_of_Image,Learning_Rate,Reshuffle,Dropout1,Dropout2,Dropout3,Dropout4,Regularization_Constant,Batch_Size,dense_neurons1,dense_neurons2,no_of_samples,epochs,vgg_layers,other_param,no_of_nonslip_data,slip_instant_labels,max_labels,tp,tn,fp,fn,tpr,fnr,f1
1,0.0,0.0,8,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,2279,40,19,additional cnn + global average,200,0.0001,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.5834633111953735,0.5690913200378418,8,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,2279,40,19,additional cnn + global average,200,0.0001,0.2,1.5599678754806519,0.7738853693008423,1.1489099264144897,0.5172368288040161,0.7509938102214446,0.2490061897785554,0.5834633111953735
2,0.7838622331619263,0.5664483308792114,8,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,2279,40,19,additional cnn + global average,200,0.0001,0.2,1.682447910308838,1.4530009031295776,0.46979448199272156,0.3947567045688629,0.8099577183001276,0.19004228169987236,0.7838622033596039
3,0.8689547777175903,0.5567956566810608,8,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,2279,40,19,additional cnn + global average,200,0.0001,0.2,1.842077612876892,1.6337414979934692,0.2890537679195404,0.2351270616054535,0.8868060213353559,0.11319397866464403,0.8689547906660258
4,0.8923681974411011,0.5535493493080139,8,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,2279,40,19,additional cnn + global average,200,0.0001,0.2,1.9064778089523315,1.6629949808120728,0.25980037450790405,0.17072689533233643,0.9178093064298494,0.08219069357015059,0.8923681841437789
5,0.9060961008071899,0.5532477498054504,8,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,2279,40,19,additional cnn + global average,200,0.0001,0.2,1.9446122646331787,1.679772138595581,0.24302317202091217,0.13259242475032806,0.9361678579737464,0.06383214202625363,0.9060961008071899
6,0.914616048336029,0.5664196014404297,8,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,2279,40,19,additional cnn + global average,200,0.0001,0.2,1.965920329093933,1.692543864250183,0.2302514910697937,0.11128439009189606,0.9464258919383186,0.05357410806168134,0.9146160312999779
