Epoch,Train_Accuracy,Val_Accuracy,Sequence_of_Image,Learning_Rate,Reshuffle,Dropout1,Dropout2,Dropout3,Dropout4,Regularization_Constant,Batch_Size,dense_neurons1,dense_neurons2,no_of_samples,epochs,vgg_layers,other_param,no_of_nonslip_data,slip_instant_labels,max_labels,tp,tn,fp,fn,tpr,fnr,f1
1,0.0,0.0,8,0.0005,False,0.5,0.5,0.5,0.5,0.001,4,64,8,4559,40,19,additional cnn + global average,200,0.0001,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.5153049826622009,0.5097125172615051,8,0.0005,False,0.5,0.5,0.5,0.5,0.001,4,64,8,4559,40,19,additional cnn + global average,200,0.0001,0.005,2.0078487396240234,0.05334877967834473,1.883180022239685,0.05557888746261597,0.9730647749729473,0.026935225027052676,0.5153049929134521
2,0.5157141089439392,0.5097125172615051,8,0.0005,False,0.5,0.5,0.5,0.5,0.001,4,64,8,4559,40,19,additional cnn + global average,200,0.0001,0.005,2.060676336288452,0.0021577004808932543,1.9343711137771606,0.002751430030912161,0.9986665731285471,0.0013334268714528443,0.5157141071945243
