Epoch,Train_Accuracy,Val_Accuracy,Sequence_of_Image,Learning_Rate,Reshuffle,Dropout1,Dropout2,Dropout3,Dropout4,Regularization_Constant,Batch_Size,dense_neurons1,dense_neurons2,no_of_samples,epochs,vgg_layers,other_param,no_of_nonslip_data,slip_instant_labels,max_labels
1,0.0,0.0,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,5,40,19,additional cnn + global average,200,0.0001,0.2
1,0.5436766743659973,0.39726027846336365,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,5,40,19,additional cnn + global average,200,0.0001,0.2
2,0.5958278775215149,0.6484017968177795,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,5,40,19,additional cnn + global average,200,0.0001,0.2
3,0.6205997467041016,0.6529680490493774,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,5,40,19,additional cnn + global average,200,0.0001,0.2
4,0.6492829322814941,0.8082191944122314,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,5,40,19,additional cnn + global average,200,0.0001,0.2
5,0.6753585338592529,0.8082191944122314,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,5,40,19,additional cnn + global average,200,0.0001,0.2
6,0.6962190270423889,0.8082191944122314,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,5,40,19,additional cnn + global average,200,0.0001,0.2
7,0.7470664978027344,0.8082191944122314,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,5,40,19,additional cnn + global average,200,0.0001,0.2
8,0.7079530358314514,0.8082191944122314,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,5,40,19,additional cnn + global average,200,0.0001,0.2
9,0.7731420993804932,0.8082191944122314,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,5,40,19,additional cnn + global average,200,0.0001,0.2
10,0.736636221408844,0.8082191944122314,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,5,40,19,additional cnn + global average,200,0.0001,0.2
