Epoch,Train_Accuracy,Val_Accuracy,Sequence_of_Image,Learning_Rate,Reshuffle,Dropout1,Dropout2,Dropout3,Dropout4,Regularization_Constant,Batch_Size,dense_neurons1,dense_neurons2,no_of_samples,epochs,vgg_layers,other_param,no_of_nonslip_data,slip_instant_labels,max_labels,tp,tn,fp,fn,tpr,fnr,f1
1,0.0,0.0,8,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,2279,40,19,additional cnn + global average,200,0.0005,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.5257195234298706,0.5448461771011353,8,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,2279,40,19,additional cnn + global average,200,0.0005,0.005,0.7588774561882019,1.3440006971359253,0.701515257358551,1.1956065893173218,0.3882750836126266,0.6117249163873734,0.5257195383310318
2,0.6580120325088501,0.5326942801475525,8,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,2279,40,19,additional cnn + global average,200,0.0005,0.005,1.255499005317688,1.3765491247177124,0.6689668893814087,0.6989850401878357,0.6423685106075939,0.35763148939240613,0.6580120227037068
3,0.8239239454269409,0.5439655780792236,8,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,2279,40,19,additional cnn + global average,200,0.0005,0.005,1.53756582736969,1.7581299543380737,0.28738605976104736,0.41691824793815613,0.7866862906659967,0.21331370933400332,0.8239239270108061
