Epoch,Train_Accuracy,Val_Accuracy,img_sequence_window_size,stride,Learning_Rate,Reshuffle,Dropout1,Dropout2,Dropout3,Dropout4,Regularization_Constant,Batch_Size,dense_neurons1,dense_neurons2,no_of_samples,epochs,vgg_layers,other_param,no_of_nonslip_data,slip_instant_labels,max_labels,min_trim_value,tp,tn,fp,fn,tpr,fnr,f1
1,0.0,0.0,8,1,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,5584,40,19,additional cnn + global average,2000,0.0003,0.02,7e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.7523835301399231,0.6900368928909302,8,1,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,5584,40,19,additional cnn + global average,2000,0.0003,0.02,7e-06,1.4027392864227295,1.6067841053009033,0.3932088315486908,0.5972536206245422,0.7013721306110484,0.2986278693889516,0.7523835106355514
2,0.8823034167289734,0.7076798677444458,8,1,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,5584,40,19,additional cnn + global average,2000,0.0003,0.02,7e-06,1.631033182144165,1.8981679677963257,0.10182502865791321,0.3689597547054291,0.8155194711404243,0.1844805288595757,0.8823033902585522
3,0.9143031239509583,0.7155596613883972,8,1,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,5584,40,19,additional cnn + global average,2000,0.0003,0.02,7e-06,1.7151013612747192,1.9420982599258423,0.05789469927549362,0.2848915457725525,0.8575537219313655,0.14244627806863458,0.9143031359334455
4,0.9297567009925842,0.708525538444519,8,1,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,5584,40,19,additional cnn + global average,2000,0.0003,0.02,7e-06,1.7622814178466797,1.9567322731018066,0.04326065629720688,0.237711563706398,0.8811438010538392,0.11885619894616085,0.9297566975837855
