Epoch,Train_Accuracy,Val_Accuracy,Sequence_of_Image,Learning_Rate,Reshuffle,Dropout1,Dropout2,Dropout3,Dropout4,Regularization_Constant,Batch_Size,dense_neurons1,dense_neurons2,no_of_samples,epochs,vgg_layers,other_param
1,0.6301317811012268,0.45764967799186707,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,19,additional cnn + global average
2,0.7774962186813354,0.4297117590904236,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,19,additional cnn + global average
3,0.8796249628067017,0.4243902564048767,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,19,additional cnn + global average
4,0.900912344455719,0.44745010137557983,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,19,additional cnn + global average
5,0.9156107306480408,0.42882484197616577,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,19,additional cnn + global average
6,0.9213127493858337,0.45011085271835327,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,19,additional cnn + global average
7,0.9300557374954224,0.48425719141960144,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,19,additional cnn + global average
8,0.9275215268135071,0.4097560942173004,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,19,additional cnn + global average
9,0.9372782707214355,0.4439024329185486,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,19,additional cnn + global average
10,0.9386720657348633,0.4452328085899353,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,19,additional cnn + global average
11,0.9393056035041809,0.42616409063339233,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,19,additional cnn + global average
12,0.9382919669151306,0.45498892664909363,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,19,additional cnn + global average
13,0.941586434841156,0.49135255813598633,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,19,additional cnn + global average
14,0.9456411600112915,0.49223947525024414,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,19,additional cnn + global average
15,0.9432336688041687,0.45543238520622253,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,19,additional cnn + global average
16,0.9464014172554016,0.4177383482456207,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,19,additional cnn + global average
17,0.9422199726104736,0.46430155634880066,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,19,additional cnn + global average
18,0.9476685523986816,0.4665188491344452,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,19,additional cnn + global average
19,0.9475418329238892,0.4385809302330017,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,19,additional cnn + global average
20,0.9521033763885498,0.4452328085899353,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,19,additional cnn + global average
21,0.9484288096427917,0.5055432319641113,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,19,additional cnn + global average
22,0.9500760436058044,0.5077605247497559,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,19,additional cnn + global average
23,0.9500760436058044,0.4004434645175934,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,19,additional cnn + global average
24,0.9489356279373169,0.4470066428184509,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,19,additional cnn + global average
25,0.9533705115318298,0.45764967799186707,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,19,additional cnn + global average
26,0.9514698386192322,0.44035476446151733,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,19,additional cnn + global average
27,0.9505828619003296,0.4611973464488983,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,19,additional cnn + global average
28,0.9479219317436218,0.4031042158603668,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,19,additional cnn + global average
29,0.9527369737625122,0.44745010137557983,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,19,additional cnn + global average
30,0.9519766569137573,0.45498892664909363,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,19,additional cnn + global average
31,0.9483020901679993,0.41108646988868713,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,19,additional cnn + global average
32,0.9489356279373169,0.5019955635070801,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,19,additional cnn + global average
33,0.9532437920570374,0.4328159689903259,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,19,additional cnn + global average
34,0.9528636336326599,0.4656319320201874,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,19,additional cnn + global average
35,0.9523568153381348,0.4079822599887848,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,19,additional cnn + global average
36,0.9562848210334778,0.45764967799186707,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,19,additional cnn + global average
37,0.9523568153381348,0.4891352653503418,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,19,additional cnn + global average
38,0.95489102602005,0.41951218247413635,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,19,additional cnn + global average
39,0.9537506103515625,0.4292683005332947,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,19,additional cnn + global average
40,0.9534972310066223,0.4000000059604645,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,19,additional cnn + global average
41,0.9504561424255371,0.4385809302330017,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,19,additional cnn + global average
42,0.9526102542877197,0.44079822301864624,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,19,additional cnn + global average
43,0.9527369737625122,0.43414634466171265,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,19,additional cnn + global average
44,0.9512163996696472,0.44878047704696655,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,19,additional cnn + global average
45,0.9555245637893677,0.4031042158603668,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,19,additional cnn + global average
46,0.9541307687759399,0.45011085271835327,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,19,additional cnn + global average
47,0.9518499970436096,0.4798226058483124,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,19,additional cnn + global average
48,0.9490623474121094,0.4239467978477478,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,19,additional cnn + global average
49,0.9562848210334778,0.4536585509777069,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,19,additional cnn + global average
50,0.9512163996696472,0.4146341383457184,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,19,additional cnn + global average
