Epoch,Train_Accuracy,Val_Accuracy,img_sequence_window_size,stride,Learning_Rate,Reshuffle,Dropout1,Dropout2,Dropout3,Dropout4,Regularization_Constant,Batch_Size,dense_neurons1,dense_neurons2,no_of_samples,epochs,vgg_layers,other_param,no_of_nonslip_data,slip_instant_labels,max_labels,tp,tn,fp,fn,tpr,fnr,f1
1,0.0,0.0,8,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,4559,40,19,additional cnn + global average,200,0.0001,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.49808469414711,0.5052448511123657,8,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,4559,40,19,additional cnn + global average,200,0.0001,0.005,0.6392849683761597,1.3530538082122803,0.6402071118354797,1.3674540519714355,0.3185690624909594,0.6814309375090406,0.4980847015691504
2,0.4971093237400055,0.4988517165184021,8,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,4559,40,19,additional cnn + global average,200,0.0001,0.005,0.7241966128349304,1.2642406225204468,0.729020357131958,1.28254234790802,0.3608823205220537,0.6391176794779463,0.49710931624635035
3,0.49858126044273376,0.49984481930732727,8,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,4559,40,19,additional cnn + global average,200,0.0001,0.005,0.5509682893753052,1.4433567523956299,0.5499042272567749,1.45577073097229,0.2745590152923173,0.7254409847076827,0.49858126044273376
