Epoch,Train_Accuracy,Val_Accuracy,img_sequence_window_size,stride,Learning_Rate,Reshuffle,Dropout1,Dropout2,Dropout3,Dropout4,Regularization_Constant,Batch_Size,dense_neurons1,dense_neurons2,no_of_samples,epochs,vgg_layers,other_param,no_of_nonslip_data,slip_instant_labels,max_labels,min_trim_value,tp,tn,fp,fn,tpr,fnr,f1,elapsed_time
1,0.0,0.0,8,1,3e-05,False,0.5,0.5,0.5,0.5,0.001,2,64,8,50,40,19,additional cnn + global average,2000,0.0003,0.02,7e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3775842189788818
1,0.6210206151008606,0.5659722089767456,8,1,3e-05,False,0.5,0.5,0.5,0.5,0.001,2,64,8,50,40,19,additional cnn + global average,2000,0.0003,0.02,7e-06,0.682584285736084,0.5594569444656372,0.4405430853366852,0.3174157440662384,0.6825842653934876,0.31741573460651235,0.6210205965930046,143.10396671295166
2,0.8096910119056702,0.5706018805503845,8,1,3e-05,False,0.5,0.5,0.5,0.5,0.001,2,64,8,50,40,19,additional cnn + global average,2000,0.0003,0.02,7e-06,0.8099250793457031,0.8094569444656372,0.190543070435524,0.19007490575313568,0.8099250914145275,0.19007490858547255,0.8096910119056702,281.8247022628784
3,0.8707864880561829,0.5729166865348816,8,1,3e-05,False,0.5,0.5,0.5,0.5,0.001,2,64,8,50,40,19,additional cnn + global average,2000,0.0003,0.02,7e-06,0.8642321825027466,0.8773408532142639,0.12265917658805847,0.13576778769493103,0.8642322082588735,0.13576779174112652,0.8707865178585052,421.54527473449707
