Epoch,Train_Accuracy,Val_Accuracy,img_sequence_window_size,stride,Learning_Rate,Reshuffle,Dropout1,Dropout2,Dropout3,Dropout4,Regularization_Constant,Batch_Size,dense_neurons1,dense_neurons2,no_of_samples,epochs,vgg_layers,other_param,no_of_nonslip_data,slip_instant_labels,max_labels,min_trim_value,tp,tn,fp,fn,tpr,fnr,f1,elapsed_time
1,0.0,0.0,8,1,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,28589,40,19,additional cnn + global average,2000,0.0003,0.02,7e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4819512367248535
1,0.5592783689498901,0.5115740895271301,8,1,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,28589,40,19,additional cnn + global average,2000,0.0003,0.02,7e-06,1.077319622039795,1.1597938537597656,0.8402062058448792,0.9226804375648499,0.5386597949665846,0.4613402050334154,0.5592783522820963,48.208333253860474
2,0.6726804375648499,0.5277777910232544,8,1,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,28589,40,19,additional cnn + global average,2000,0.0003,0.02,7e-06,1.3659794330596924,1.324742317199707,0.6752577424049377,0.6340206265449524,0.682989696175167,0.3170103038248329,0.6726804175174111,91.92817807197571
3,0.7912371158599854,0.49421295523643494,8,1,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,28589,40,19,additional cnn + global average,2000,0.0003,0.02,7e-06,1.613402009010315,1.551546335220337,0.4484536051750183,0.3865979313850403,0.8067010285467215,0.1932989714532784,0.7912371096383664,136.01705288887024
