Epoch,Train_Accuracy,Val_Accuracy,img_sequence_window_size,stride,Learning_Rate,Reshuffle,Dropout1,Dropout2,Dropout3,Dropout4,Regularization_Constant,Batch_Size,dense_neurons1,dense_neurons2,no_of_samples,epochs,vgg_layers,other_param,no_of_nonslip_data,slip_instant_labels,max_labels,min_trim_value,tp,tn,fp,fn,tpr,fnr,f1
1,0.0,0.0,8,1,1e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,5584,40,19,additional cnn + global average,2000,0.0003,0.02,7e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.6915032863616943,0.6775253415107727,8,1,1e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,5584,40,19,additional cnn + global average,2000,0.0003,0.02,7e-06,1.4344956874847412,1.3315075635910034,0.6684853434562683,0.5654972195625305,0.7172503874539169,0.2827496125460831,0.6915032651689218
2,0.838011622428894,0.6649754047393799,8,1,1e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,5584,40,19,additional cnn + global average,2000,0.0003,0.02,7e-06,1.6618732213974,1.6901614665985107,0.309831440448761,0.3381197154521942,0.830939545224193,0.169060454775807,0.8380116377437705
