Epoch,Train_Accuracy,Val_Accuracy,img_sequence_window_size,stride,Learning_Rate,Reshuffle,Dropout1,Dropout2,Dropout3,Dropout4,Regularization_Constant,Batch_Size,dense_neurons1,dense_neurons2,no_of_samples,epochs,vgg_layers,other_param,no_of_nonslip_data,slip_instant_labels,max_labels,min_trim_value,tp,tn,fp,fn,tpr,fnr,f1
1,0.0,0.0,8,1,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,50,40,19,additional cnn + global average,2000,0.0003,0.02,7e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.5574690699577332,0.5642361044883728,8,1,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,50,40,19,additional cnn + global average,2000,0.0003,0.02,7e-06,1.248452067375183,0.9814241528511047,1.01857590675354,0.7515479922294617,0.6242260150842066,0.3757739849157934,0.5574690384426999
2,0.673374593257904,0.578125,8,1,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,50,40,19,additional cnn + global average,2000,0.0003,0.02,7e-06,1.4419504404067993,1.251547932624817,0.7484520077705383,0.5580495595932007,0.7209752202033997,0.27902477979660034,0.6733746032919675
3,0.7755417823791504,0.5515046119689941,8,1,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,50,40,19,additional cnn + global average,2000,0.0003,0.02,7e-06,1.5673375129699707,1.5348297357559204,0.4651702642440796,0.4326625466346741,0.7836687331298371,0.21633126687016288,0.7755418006249994
4,0.8506191968917847,0.5520833134651184,8,1,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,50,40,19,additional cnn + global average,2000,0.0003,0.02,7e-06,1.708978295326233,1.6934984922409058,0.3065015375614166,0.2910216748714447,0.8544891603959972,0.14551083960400282,0.8506191968917847
