Epoch,Train_Accuracy,Val_Accuracy,Sequence_of_Image,Learning_Rate,Reshuffle,Dropout1,Dropout2,Dropout3,Dropout4,Regularization_Constant,Batch_Size,dense_neurons1,dense_neurons2,no_of_samples,epochs,vgg_layers,other_param,no_of_nonslip_data,slip_instant_labels,max_labels
1,0.0,0.0,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,5,40,19,additional cnn + global average,200,0.0001,0.2
1,0.5580182671546936,0.6712328791618347,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,5,40,19,additional cnn + global average,200,0.0001,0.2
2,0.671447217464447,0.6712328791618347,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,5,40,19,additional cnn + global average,200,0.0001,0.2
3,0.7118644118309021,0.6712328791618347,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,5,40,19,additional cnn + global average,200,0.0001,0.2
