Epoch,Train_Accuracy,Val_Accuracy,Sequence_of_Image,Learning_Rate,Reshuffle,Dropout1,Dropout2,Dropout3,Dropout4,Regularization_Constant,Batch_Size,dense_neurons1,dense_neurons2,no_of_samples,epochs,vgg_layers,other_param
1,0.5520780682563782,0.6053215265274048,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,15,additional cnn + global average
2,0.5669031739234924,0.6119734048843384,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,15,additional cnn + global average
3,0.576153039932251,0.6119734048843384,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,15,additional cnn + global average
4,0.5884439945220947,0.6119734048843384,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,15,additional cnn + global average
5,0.5916117429733276,0.6119734048843384,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,15,additional cnn + global average
6,0.5751394033432007,0.6119734048843384,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,15,additional cnn + global average
7,0.5760263800621033,0.6119734048843384,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,15,additional cnn + global average
8,0.5847693681716919,0.6119734048843384,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,15,additional cnn + global average
9,0.5800811052322388,0.6119734048843384,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,15,additional cnn + global average
10,0.5809680819511414,0.6119734048843384,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,15,additional cnn + global average
11,0.5928788781166077,0.6119734048843384,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,15,additional cnn + global average
12,0.5960466265678406,0.6119734048843384,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,15,additional cnn + global average
13,0.5943993926048279,0.6119734048843384,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,15,additional cnn + global average
14,0.5946528315544128,0.6119734048843384,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,15,additional cnn + global average
15,0.594906210899353,0.6119734048843384,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,15,additional cnn + global average
16,0.5969336032867432,0.6119734048843384,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,15,additional cnn + global average
17,0.5966801643371582,0.6119734048843384,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,15,additional cnn + global average
18,0.5978205800056458,0.6119734048843384,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,15,additional cnn + global average
19,0.5970603227615356,0.6119734048843384,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,15,additional cnn + global average
20,0.5973137617111206,0.6119734048843384,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,15,additional cnn + global average
21,0.5973137617111206,0.6119734048843384,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,15,additional cnn + global average
22,0.5973137617111206,0.6119734048843384,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,15,additional cnn + global average
23,0.5974404215812683,0.6119734048843384,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,15,additional cnn + global average
24,0.5973137617111206,0.6119734048843384,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,15,additional cnn + global average
25,0.5971870422363281,0.6119734048843384,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,15,additional cnn + global average
26,0.5973137617111206,0.6119734048843384,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,15,additional cnn + global average
27,0.5973137617111206,0.6119734048843384,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,15,additional cnn + global average
28,0.5973137617111206,0.6119734048843384,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,15,additional cnn + global average
29,0.5973137617111206,0.6119734048843384,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,15,additional cnn + global average
30,0.5973137617111206,0.6119734048843384,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,15,additional cnn + global average
31,0.5973137617111206,0.6119734048843384,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,15,additional cnn + global average
32,0.5973137617111206,0.6119734048843384,5,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,100,50,15,additional cnn + global average
