Epoch,Train_Accuracy,Val_Accuracy,Sequence_of_Image,Learning_Rate,Reshuffle,Dropout1,Dropout2,Dropout3,Dropout4,Regularization_Constant,Batch_Size,dense_neurons1,dense_neurons2,no_of_samples,epochs,vgg_layers,other_param,no_of_nonslip_data,slip_instant_labels,max_labels,tp,tn,fp,fn,tpr,fnr,f1
1,0.0,0.0,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,5,40,19,additional cnn + global average,200,0.0001,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.5684484839439392,0.7579908967018127,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,5,40,19,additional cnn + global average,200,0.0001,0.2,1.40625,0.8645833134651184,1.015625,0.7083333134651184,0.6650246367903144,0.3349753632096856,0.5684485013327518
2,0.6466753482818604,0.6347032189369202,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,5,40,19,additional cnn + global average,200,0.0001,0.2,1.4166666269302368,1.1666666269302368,0.7135416865348816,0.6979166865348816,0.6699507264193711,0.3300492735806289,0.6466753450781646
3,0.6779661178588867,0.8082191944122314,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,5,40,19,additional cnn + global average,200,0.0001,0.2,1.4479166269302368,1.2604166269302368,0.6197916865348816,0.6666666865348816,0.6847290516813781,0.3152709483186219,0.6779660885445654
4,0.6597131490707397,0.8082191944122314,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,5,40,19,additional cnn + global average,200,0.0001,0.2,1.421875,1.2135416269302368,0.6666666865348816,0.6927083134651184,0.672413799421318,0.32758620057868204,0.6597131648028911
