Epoch,Train_Accuracy,Val_Accuracy,Sequence_of_Image,Learning_Rate,Reshuffle,Dropout1,Dropout2,Dropout3,Dropout4,Regularization_Constant,Batch_Size,dense_neurons1,dense_neurons2,no_of_samples,epochs,vgg_layers,other_param,no_of_nonslip_data,slip_instant_labels,max_labels,tp,tn,fp,fn,tpr,fnr,f1
1,0.0,0.0,8,5e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,4559,40,19,additional cnn + global average,200,0.0001,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.5241060256958008,0.5519710183143616,8,5e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,4559,40,19,additional cnn + global average,200,0.0001,0.005,1.7665919065475464,0.3298095762729645,1.6067192554473877,0.29683586955070496,0.8561442891342707,0.14385571086572935,0.5241060562313935
2,0.6049699783325195,0.5739302039146423,8,5e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,4559,40,19,additional cnn + global average,200,0.0001,0.005,1.5302585363388062,0.8895952701568604,1.046933650970459,0.5331692099571228,0.7416099444653597,0.25839005553464034,0.6049700053512139
3,0.7529442310333252,0.5617278218269348,8,5e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,4559,40,19,additional cnn + global average,200,0.0001,0.005,1.631540060043335,1.380204200744629,0.5563246607780457,0.4318876266479492,0.7906940817778387,0.2093059182221612,0.752944244390043
4,0.81779545545578,0.5697613954544067,8,5e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,4559,40,19,additional cnn + global average,200,0.0001,0.005,1.7477952241897583,1.5233509540557861,0.4131779074668884,0.3156324625015259,0.8470348805837514,0.1529651194162486,0.8177954282293793
