Epoch,Train_Accuracy,Val_Accuracy,Sequence_of_Image,Learning_Rate,Reshuffle,Dropout1,Dropout2,Dropout3,Dropout4,Regularization_Constant,Batch_Size,dense_neurons1,dense_neurons2,no_of_samples,epochs,vgg_layers,other_param,no_of_nonslip_data,slip_instant_labels,max_labels,tp,tn,fp,fn,tpr,fnr,f1
1,0.0,0.0,8,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,2279,40,19,additional cnn + global average,200,0.0001,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.5193774104118347,0.532202959060669,8,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,2279,40,19,additional cnn + global average,200,0.0001,0.005,1.7153093814849854,0.36217135190963745,1.5692976713180542,0.353165864944458,0.8292627066463159,0.17073729335368415,0.5193774196190736
2,0.5371725559234619,0.5412783622741699,8,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,2279,40,19,additional cnn + global average,200,0.0001,0.005,1.7654668092727661,0.3831934630870819,1.5482755899429321,0.3030083477497101,0.8535112463299371,0.14648875367006284,0.5371725602971976
3,0.5832183361053467,0.5281288027763367,8,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,2279,40,19,additional cnn + global average,200,0.0001,0.005,1.5807008743286133,0.7521398663520813,1.1793291568756104,0.4877742826938629,0.7641865404871465,0.23581345951285346,0.5832183239454087
4,0.7001380324363708,0.5393754839897156,8,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,2279,40,19,additional cnn + global average,200,0.0001,0.005,1.6124571561813354,1.1880558729171753,0.7434131503105164,0.4560180604457855,0.7795390262449585,0.2204609737550415,0.7001380172240006
