Epoch,Train_Accuracy,Val_Accuracy,img_sequence_window_size,stride,Learning_Rate,Reshuffle,Dropout1,Dropout2,Dropout3,Dropout4,Regularization_Constant,Batch_Size,dense_neurons1,dense_neurons2,no_of_samples,epochs,vgg_layers,other_param,no_of_nonslip_data,slip_instant_labels,max_labels,tp,tn,fp,fn,tpr,fnr,f1
1,0.0,0.0,8,1,1e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,5584,40,19,additional cnn + global average,200,0.0002,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.6683157682418823,0.6573975086212158,8,1,1e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,5584,40,19,additional cnn + global average,200,0.0002,0.02,1.2206250429153442,1.4526299238204956,0.5473640561103821,0.7793689370155334,0.6103143585249845,0.38968564147501555,0.6683157533374753
2,0.7925225496292114,0.6410343647003174,8,1,1e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,5584,40,19,additional cnn + global average,200,0.0002,0.02,1.3718690872192383,1.7982115745544434,0.2017824351787567,0.6281249523162842,0.685936587859952,0.31406341214004796,0.7925225332493769
