Epoch,Train_Accuracy,Val_Accuracy,Sequence_of_Image,Learning_Rate,Reshuffle,Dropout1,Dropout2,Dropout3,Dropout4,Regularization_Constant,Batch_Size,dense_neurons1,dense_neurons2,no_of_samples,epochs,vgg_layers,other_param,no_of_nonslip_data,slip_instant_labels,max_labels
1,0.0,0.0,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,400,50,15,additional cnn + global average,200,5e-05,0.005
1,0.560706377029419,0.602809488773346,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,400,50,15,additional cnn + global average,200,5e-05,0.005
2,0.5643186569213867,0.602809488773346,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,400,50,15,additional cnn + global average,200,5e-05,0.005
3,0.5569937825202942,0.602809488773346,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,400,50,15,additional cnn + global average,200,5e-05,0.005
4,0.5634657740592957,0.602809488773346,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,400,50,15,additional cnn + global average,200,5e-05,0.005
5,0.5542845726013184,0.602809488773346,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,400,50,15,additional cnn + global average,200,5e-05,0.005
6,0.568231999874115,0.602809488773346,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,400,50,15,additional cnn + global average,200,5e-05,0.005
7,0.5838350653648376,0.602809488773346,6,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,400,50,15,additional cnn + global average,200,5e-05,0.005
