Epoch,Train_Accuracy,Val_Accuracy,img_sequence_window_size,stride,Learning_Rate,Reshuffle,Dropout1,Dropout2,Dropout3,Dropout4,Regularization_Constant,Batch_Size,dense_neurons1,dense_neurons2,no_of_samples,epochs,vgg_layers,other_param,no_of_nonslip_data,slip_instant_labels,max_labels,min_trim_value,tp,tn,fp,fn,tpr,fnr,f1
1,0.0,0.0,8,1,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,50,40,19,additional cnn + global average,2000,0.0003,0.02,0.00029,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.5708916783332825,0.5355660915374756,8,1,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,50,40,19,additional cnn + global average,2000,0.0003,0.02,0.00029,1.372950792312622,0.9098360538482666,1.0894808769226074,0.626366138458252,0.6867099313680374,0.3132900686319626,0.5708916908138014
2,0.6694567799568176,0.5450503826141357,8,1,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,50,40,19,additional cnn + global average,2000,0.0003,0.02,0.00029,1.4296448230743408,1.247267723083496,0.7520492076873779,0.5696721076965332,0.7150666315435615,0.2849333684564385,0.6694567792025108
3,0.7646054029464722,0.5426793098449707,8,1,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,50,40,19,additional cnn + global average,2000,0.0003,0.02,0.00029,1.560792326927185,1.4965846538543701,0.5027322173118591,0.43852460384368896,0.7806627868275954,0.21933721317240465,0.7646053957980438
4,0.8180730938911438,0.5103734731674194,8,1,3e-05,False,0.5,0.5,0.5,0.5,0.001,4,64,8,50,40,19,additional cnn + global average,2000,0.0003,0.02,0.00029,1.6079235076904297,1.6632513999938965,0.3360655605792999,0.3913934528827667,0.8042364164356632,0.19576358356433676,0.8180731150168639
